ID	words	meaning	lx
2234	distil	v. 蒸馏, 提取....的精华	 Water can be made pure by distilling it./r/n     水可以通过蒸馏而提纯。/r/n\n Tears distilled slowly from her eyes./r/n     泪水从她的眼睛里慢慢地滴下来。/r/n
2235	distill	v. 蒸馏,滴下	 Water can be made pure by distilling it./r/n     水可以通过蒸馏而提纯。/r/n\n Tears distilled slowly from her eyes./r/n     泪水从她的眼睛里慢慢地滴下来。/r/n
2236	distillation	n. 蒸馏	 Purification of water may be achieved by distillation./r/n     水的净化可由蒸馏获得。/r/n\n We may purge water by distillation./r/n     我们可以用蒸馏法使水净化。/r/n
2237	distinction	n. 差别,不同,对比,区分,辨别	 He passed the examination with distinction./r/n     他以优异成绩通过考试。/r/n\n We should make a distinction between right and wrong./r/n     我们应该分清是非。/r/n
2238	distinctive	a. 有特色的,出众的	 Soldiers wear a distinctive uniform./r/n     士兵们穿着特制的制服。/r/n\n This is a distinctive room./r/n     这是一间独具一格的房间。/r/n
2239	distinctly	ad. 显然地,明显地,清楚地	 He spoke very distinctly./r/n     他说话十分清晰。/r/n\n The choir was (singing) distinctly out of tune in places./r/n     合唱团有些地方明显（唱）走调了./r/n
2240	distinguish	v. 区别,辨别,表现突出	 He distinguished himself by his courage./r/n     他因英勇而扬名。/r/n\n The twins were so much alike that it was impossible to distinguish one from the other./r/n     这对孪生子像得使人无法分辨。/r/n
2241	distinguished	a. 卓著的<br>\nv. 区别<br>\nvbl. 区别	 Premier Zhou is a distinguished politician./r/n     周总理是一位卓越的政治家。/r/n\n I think grey hair makes you look rather distinguished./r/n     我觉得你灰白的头发使你看上去很有尊严。/r/n
2242	distort	v. 扭曲	 You have distorted my motives./r/n     你曲解了我的动机。/r/n\n The reporter distorted the facts./r/n     记者们歪曲了事实。/r/n
2243	distortion	n. 扭曲,变形,曲解	 A distortion of shape./r/n     变形形状的扭曲/r/n\n A distortion or twist, especially in a piece of wood./r/n     弯曲歪曲、变形、尤指某一木头/r/n
2244	distrain	n. 为抵债而扣押	
2245	distress	n. 苦恼,贫困<br>\nv. 使...苦恼	 What are you looking so distressed for?/r/n     什么事情使你看起来如此烦恼？/r/n\n The lifeboat went out to a ship in distress./r/n     救生船去救一艘遇险的船只。/r/n
2246	distribute	v. 分配,散布	 The mother distributed candy among children./r/n     母亲给孩子们发糖果。/r/n\n The books in the library were distributed according to subjects./r/n     图书馆里的藏书按科目分类。/r/n
2247	distributed	分布的,分布式的	 The mother distributed candy among children./r/n     母亲给孩子们发糖果。/r/n\n They distributed leaflets to customers./r/n     他们给客户散发传单。/r/n
2248	distribution	n. 分发,分配,散布,分布	 The distribution of the magazine is 2000./r/n     该杂志的销售量为2000份。/r/n\n They could not agree about the distribution of the profits./r/n     他们对于利润的分配意见不一致。/r/n
2249	district	n. 区,地区,行政区<br>\nv. 区,区域,地区	 He lives in a mountainous district./r/n     他住在山区。/r/n\n This district grew cotton on a large scale./r/n     这个地区过去大量种棉花。/r/n
2250	disturb	v. 扰乱,妨碍,使...不安	 He put his oars in the water and disturbed the smooth surface of the lake./r/n     他把桨放入水中，搅乱了平静的湖面。/r/n\n They took the phone off the hook so no calls would disturb them./r/n     他们摘下电话听筒，以免电话打扰他们。/r/n
2251	disturbance	n. 扰乱,骚动	 The noise of cars passing along the road is a continual disturbance to our quiet at home./r/n     马路上来往的车辆声音不断地破坏我们家的安宁。/r/n\n Those men were charged by the police with causing a disturbance./r/n     那些人因制造骚乱被警方控诉。/r/n
2252	disunite	v. 使分离,不和	
2253	disuse	v.&n. 废止	 Here are some words that have fallen into disuse./r/n     这是一些废弃不用的词。/r/n\n The spoon has been rusty from disuse./r/n     汤匙因弃置不用而生锈了。/r/n
2254	ditch	n. 沟渠<br>\nv. 坠沟中	 The frog jumped into the ditch./r/n     青蛙跳进了沟里。/r/n\n The cart overturned and precipitated us to the ditch./r/n     车子翻了，我们被摔进了沟里。/r/n
2255	dithering	抖动	
2256	ditto	n. 同上,同上符号,很相似的东西<br>\na. 同样的,前项的<br>\nad. 与前同地	 I shall act ditto./r/n     我将同样办理。/r/n
2257	diuretic	n.&a. 利尿剂	 Coffee is a diuretic./r/n     咖啡是一种利尿剂./r/n
2258	dive	n. 潜水,跳水<br>\nv. 跳水,俯冲	 The eagle dived down on the rabbit./r/n     那只鹰向兔子猛扑下来。/r/n\n He dived from the bridge and rescued the drowning child./r/n     他从桥上跳入水中，救起溺水的孩子。/r/n
2259	diver	n. 潜水员	
2260	diverge	v. 分歧	 Our views diverged so greatly that it was impossible to agree./r/n     我们的观点存在着严重的分歧，绝无调和余地。/r/n\n The stream diverges here./r/n     小溪在这儿分岔。/r/n
2261	divergence	n. 分歧<br>\nn. 散度（数学用语）	 A point of divergence, especially one of great moment./r/n     转折点分岔点，尤指需要作出重大决择的时刻/r/n\n Divergence or disagreement, as between facts or claims; difference./r/n     矛盾，不相符不符合或不一致，如在事实和宣称之间；差异/r/n
2262	divergent	a. 分歧的	 A divergent section of a river, especially near the mouth./r/n     河流分支河流的分岔部分，特别是近河口地区/r/n
2263	diverse	a. 不同的,相异的,多种多样的	 Her interests are very diverse./r/n     她的兴趣非常广泛。/r/n\n The program deals with subjects as diverse as pop music and Beijing Opera./r/n     节目涉及从流行音乐到京剧这样形形色色的题材。/r/n
2264	diversion	n. 转向,转移,娱乐活动	 I think your last argument was a diversion to make us forget the main point./r/n     我认为你最后的那个论点是在转移目标，以便我们忘掉要点。/r/n\n Chess is his favorite diversion./r/n     象棋是他最喜欢的娱乐活动./r/n
2265	diversity	n. 差异,多样性<br>\nvt. 使不同,使多样化	 We should get a thorough understanding about the cultural diversity of the United States./r/n     我们应该对美国文化的多样性有一个全面的了解。/r/n\n A diversity lead to prosperity./r/n     穷则变，变则通。/r/n
2266	divert	v. 转移	 I found a computer game to divert the children./r/n     我发现了一种供孩子娱乐的电脑游戏。/r/n\n They diverted the river to supply water to the town./r/n     他们使河流改道以便向城市供水。/r/n
2267	divide	v. 除,分割,划分,隔开	 She divided the food into four equal shares./r/n     她把食物分成相同的四份。/r/n\n Six divided by two is three./r/n     六除以二得三。/r/n
2268	dividend	n. 红利,股息,彩金,被除数	 The company declared a large dividend at the end of the year./r/n     公司在年底宣布分发高额股息。/r/n\n An expression to be divided by another; a dividend./r/n     被除数被另一个数除的表达式；被除数/r/n
2269	divider	除法器	
2270	divine	a. 神的,神圣的	 My mother asked me to attend divine service./r/n     我妈妈要求我做礼拜。/r/n\n At last I divined the truth./r/n     我终于看穿了事情的真相。/r/n
2271	divisibility	可除性,可约性	
2272	division	n. 区分,分开,除法,公司,部门，师（军队里）	 The divisions between the various classes of society are not so sharply marked as they used to be./r/n     现在社会上各阶级的区分不象过去那样明显了。/r/n\n Is that a fair division of the money?/r/n     那样分款公平吗？/r/n
2273	divisor	除数	
2274	divorce	n. 离婚<br>\nv. 与...办离婚	 She got a divorce after years of unhappiness./r/n     经过多年的不幸之后，她终于离了婚。/r/n\n He divorced his wife./r/n     他和他妻子离了婚。/r/n
2275	dizziness	n. 头昏眼花	 A fit of dizziness came over her./r/n     她感到一阵头晕目眩./r/n\n He had a sensation of dizziness./r/n     他有一种晕眩的感觉。/r/n
2276	dizzy	a. 晕眩的	 The room was so hot that she felt dizzy./r/n     房间里热得她头晕目眩。/r/n\n We were dizzy by the strong wind./r/n     我们被大风刮得头晕目眩。/r/n
2277	DNA	deoxyribonucleic acid 脱氧核糖核酸	
2278	do	aux. 助动词(无词意)<br>\nv. 干,做	 I do miss you./r/n     我真想念你啊！/r/n\n The firm did badly last year./r/n     公司去年生意不好。/r/n
2279	dock	n. 码头,船坞<br>\nv. 靠码头,入坞	 They have docked us of two days of our annual leave./r/n     他们已从我们每年的休假里扣除了两天。/r/n\n The two modules docked in outer space./r/n     两个飞行舱在外层空间对接。/r/n
2280	doctor	n. 医生<br>\nv. 医治	 He is a Doctor of Philosophy./r/n     他是一位哲学博士。/r/n\n You should see a doctor./r/n     你应该去看医生。/r/n
2281	doctrine	n. 教义,主义,学说;[古]教学,指导,指令指示;军事战略	 Christian and Muslim doctrines are very different./r/n     基督教教义和穆斯林教义极为不同。/r/n\n The doctrine or belief that the evil in the world outweighs the good./r/n     悲观主义认为世界上邪恶远远强于正义的主义和信念/r/n
2282	document	n. 文件,公文<br>\nv. 记载,用文件等证明<br>\n[计算机] 文档	 Let me see all the official documents concerning the sale of this land./r/n     让我看看买卖这块土地的所有官方文件。/r/n\n The history of this area is very well documented./r/n     这个地区的历史档案保存得很好。/r/n
2283	documentary	a. 文献的<br>\nn. 纪录片	 There was some marvellous wildlife photography in the documentary./r/n     这部记录片里有些绝妙的野生动物镜头。/r/n\n It was named the best documentary of the year./r/n     它被选为这一年最优秀的文献记录片。/r/n
2284	documentation	n. 文件	
2285	dodge	v. 避开,躲避	 He dodged the falling rock and escaped unhurt./r/n     他闪身躲过了滚落的岩石，安然脱险了。/r/n\n He dodged past me./r/n     他躲躲闪闪地从我旁边走过。/r/n
2286	dog	n. 狗,卑鄙的人<br>\nv. 尾随,跟踪	 Love me, love my dog./r/n     爱屋及乌。/r/n\n Every dog has his day./r/n     人人皆有得意时。/r/n
2287	doggedly	ad. 固执地, 顽强地	 A freelance photographer who doggedly pursues celebrities to take candid pictures for sale to magazines and newspapers./r/n     猎奇摄影者为了偷拍镜头卖给杂志和报纸的顽强地追踪某些庆祝活动的自由摄影者/r/n
2288	doing	v. 做(那个东西)	 Saying is one thing, and doing is another./r/n     说是一回事，做又是另一回事。/r/n\n What do you think you are doing?/r/n     你知道你在做什么吗？/r/n
2289	dole	n. 施舍品,失业救剂金	 After she lost a leg, she went on the dole./r/n     在她失去一条腿后，她开始登记领取救济金。/r/n\n I doled out the food to all the children./r/n     我把食品发放给所有的孩子们。/r/n
2290	doll	n. 玩具娃娃<br>\nv. 把...打扮得花技招展	 My daughter has many beautiful dolls./r/n     我女儿有许多漂亮的洋娃娃。/r/n\n The child cuddled her doll (to her chest)./r/n     那孩子（怀里）抱著玩具娃娃./r/n
2291	dollar	n. 美元	 Can you lend me five dollars?/r/n     你能借给我五美元吗？/r/n\n She gave the boys a dollar apiece./r/n     她给孩子们每人一美元。/r/n
2292	dolphin	n. 海豚	 We like to see the performance of dolphins./r/n     我们喜欢看海豚的表演。/r/n\n The dolphin balanced the ball on its nose./r/n     海豚用鼻子顶着球，使其保持平衡。/r/n
2293	dome	n. 圆屋顶	 The dome of St. Paul Cathedral is well known in the world./r/n     圣保罗教堂的圆顶闻名于世。/r/n\n Upward pressure from underlying magma domes the surface./r/n     地下岩浆的向上推力使地面成圆顶形。/r/n
2294	domestic	a. 国内的,家庭的,驯养的<br>\nn. 家仆,佣人	 He has had many domestic troubles./r/n     他有许多家庭纠纷。/r/n\n The newspaper provides more foreign news than domestic news./r/n     这家报纸刊登的国外消息多于国内消息。/r/n
2295	dominance	n. 支配(控制,统治,权威,优势)	
